KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,NN_mult,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,-0.047619047619047616,-0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.5714285714285714
0.0,-0.045454545454545456,-0.18181818181818182,-0.18181818181818182,0.0,-0.045454545454545456,0.0,-0.18181818181818182,-0.13636363636363635
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9090909090909091
0.0,0.0,-0.2631578947368421,-0.2631578947368421,-0.15789473684210525,-0.21052631578947367,-0.631578947368421,-0.15789473684210525,-1.4736842105263157
0.0,0.0,0.0,-0.23076923076923078,0.0,0.0,0.0,0.0,-1.3846153846153846
-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-2.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42857142857142855
0.0,0.0,-0.037037037037037035,-0.1111111111111111,-0.1111111111111111,-0.037037037037037035,-0.1111111111111111,-0.25925925925925924,-0.7777777777777778
0.0,0.0,0.0,-0.08823529411764706,0.0,-0.08823529411764706,-0.08823529411764706,0.0,-0.5
0.0,-0.3,-0.3,-0.3,0.0,-0.3,-0.3,-0.3,-1.05
0.0,0.0,0.0,-0.7222222222222222,-0.4444444444444444,0.0,-0.7222222222222222,-0.7222222222222222,-2.0555555555555554
0.0,0.0,-0.15789473684210525,0.0,0.0,0.0,0.0,-0.15789473684210525,-1.9473684210526316
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.764705882352941
0.0,0.0,-0.2631578947368421,-0.5263157894736842,-0.15789473684210525,0.0,-0.5263157894736842,-0.5263157894736842,-0.5789473684210527
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667
0.0,-0.07407407407407407,-0.18518518518518517,-0.14814814814814814,-0.14814814814814814,0.0,-0.14814814814814814,-0.14814814814814814,-0.5185185185185185
0.0,0.0,-0.08,0.0,0.0,0.0,0.0,-0.16,-1.16
0.0,0.0,0.0,-0.6111111111111112,0.0,0.0,-0.3888888888888889,-0.3888888888888889,-0.7777777777777778
0.0,0.0,0.0,-0.05,0.0,0.0,0.0,-0.1,-0.6
0.0,0.0,0.0,-0.5333333333333333,0.0,-0.2,0.0,0.0,-1.0
0.0,-0.038461538461538464,0.0,-0.3076923076923077,0.0,-0.38461538461538464,-0.46153846153846156,-0.3076923076923077,-1.0769230769230769
0.0,0.0,0.0,-0.12,0.0,0.0,-0.12,-0.12,-1.16
0.0,0.0,-0.24,-0.28,0.0,0.0,-0.32,-0.04,-0.72
0.0,-0.037037037037037035,-0.1111111111111111,-0.2962962962962963,0.0,-0.14814814814814814,-0.18518518518518517,-0.2962962962962963,-1.1111111111111112
0.0,0.0,-0.08333333333333333,0.0,0.0,-0.16666666666666666,-0.5416666666666666,-0.08333333333333333,-0.7916666666666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0833333333333333
0.0,0.0,0.0,-0.35714285714285715,0.0,-0.35714285714285715,0.0,-0.5,-2.642857142857143
0.0,-0.09090909090909091,-0.09090909090909091,-0.2727272727272727,0.0,-0.13636363636363635,-0.2727272727272727,-0.22727272727272727,-0.9545454545454546
0.0,-0.03333333333333333,-0.03333333333333333,-0.2,-0.13333333333333333,-0.06666666666666667,-0.1,-0.16666666666666666,-0.5333333333333333
0.0,0.0,-0.1935483870967742,-0.22580645161290322,-0.06451612903225806,-0.06451612903225806,-0.06451612903225806,-0.1935483870967742,-0.5483870967741935
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3478260869565217
0.0,0.0,-0.2,-0.13333333333333333,-0.06666666666666667,-0.3333333333333333,-0.3333333333333333,-0.13333333333333333,-1.4
0.0,0.0,-0.23529411764705882,-0.29411764705882354,0.0,-0.29411764705882354,-0.29411764705882354,-0.23529411764705882,-2.0588235294117645
0.0,0.0,-0.125,-0.125,-0.0625,-0.0625,-0.0625,-0.125,-1.8125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42857142857142855
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5652173913043478
0.0,0.0,-0.058823529411764705,-0.29411764705882354,-0.17647058823529413,-0.17647058823529413,-0.29411764705882354,-0.17647058823529413,-0.058823529411764705
0.0,0.0,0.0,-0.25,0.0,0.0,-0.4,0.0,-2.3
0.0,0.0,0.0,-0.02702702702702703,0.0,-0.02702702702702703,-0.02702702702702703,-0.02702702702702703,-0.7837837837837838
0.0,0.0,0.0,-0.23076923076923078,0.0,-0.23076923076923078,-0.23076923076923078,-0.23076923076923078,-1.1538461538461537
0.0,-0.06060606060606061,-0.09090909090909091,-0.24242424242424243,-0.030303030303030304,0.0,-0.15151515151515152,-0.030303030303030304,-0.45454545454545453
0.0,-0.13636363636363635,-0.22727272727272727,-0.22727272727272727,0.0,-0.13636363636363635,-0.5,-0.5,-1.2272727272727273
0.0,0.0,-0.15789473684210525,0.0,0.0,0.0,0.0,-0.15789473684210525,-1.263157894736842
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2592592592592593
0.0,0.0,-0.19047619047619047,-0.2857142857142857,-0.09523809523809523,0.0,-0.2857142857142857,0.0,-1.0952380952380953
0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,-0.75
0.0,0.0,-0.13636363636363635,-0.18181818181818182,-0.13636363636363635,-0.13636363636363635,-0.13636363636363635,-0.18181818181818182,-0.7272727272727273
