KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,NN_mult,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,-0.05263157894736842,-0.05263157894736842,-0.5263157894736842,0.0,0.0,-0.10526315789473684,-0.42105263157894735,-0.6842105263157895
0.0,0.0,0.0,-0.3684210526315789,-0.2631578947368421,-0.10526315789473684,-0.7368421052631579,0.0,-0.47368421052631576
0.0,0.0,-0.125,-0.625,-0.125,-0.125,-0.5,-0.5,-0.6666666666666666
0.0,-0.23529411764705882,-0.23529411764705882,-0.7647058823529411,-0.23529411764705882,-0.23529411764705882,-0.35294117647058826,-0.35294117647058826,-1.3529411764705883
0.0,0.0,-0.14814814814814814,-0.4074074074074074,0.0,0.0,-0.14814814814814814,-0.2962962962962963,-1.1851851851851851
0.0,0.0,0.0,0.0,0.0,-0.16666666666666666,0.0,0.0,-1.5555555555555556
0.0,0.0,-0.37037037037037035,-0.37037037037037035,0.0,0.0,-0.37037037037037035,-0.37037037037037035,-1.8148148148148149
0.0,0.0,0.0,0.0,0.0,0.0,-0.2222222222222222,-0.2222222222222222,-1.5
0.0,-0.05555555555555555,-0.16666666666666666,-0.6666666666666666,-0.4444444444444444,-0.16666666666666666,-0.2777777777777778,-0.6111111111111112,-3.388888888888889
0.0,0.0,0.0,-0.05714285714285714,0.0,0.0,0.0,-0.05714285714285714,-0.7714285714285715
0.0,0.0,0.0,-0.5833333333333334,-0.16666666666666666,0.0,-0.125,-0.08333333333333333,-1.1666666666666667
0.0,-0.23076923076923078,-0.23076923076923078,-0.6153846153846154,0.0,-0.2692307692307692,-0.2692307692307692,-0.2692307692307692,-1.4615384615384615
0.0,0.0,-0.1,-0.4,-0.25,-0.15,-0.55,-0.4,-1.05
0.0,0.0,-0.2,0.0,0.0,-0.3,0.0,-0.2,-1.55
0.0,0.0,0.0,-0.2962962962962963,-0.037037037037037035,-0.25925925925925924,0.0,-0.07407407407407407,-0.8518518518518519
0.0,0.0,0.0,-0.2962962962962963,-0.1111111111111111,-0.18518518518518517,-0.18518518518518517,-0.37037037037037035,-0.48148148148148145
0.0,0.0,0.0,-0.37142857142857144,-0.22857142857142856,-0.2,-0.05714285714285714,-0.34285714285714286,-1.0857142857142856
0.0,0.0,0.0,-0.5454545454545454,-0.09090909090909091,-0.09090909090909091,-0.3181818181818182,-0.22727272727272727,-1.1818181818181819
0.0,0.0,0.0,-0.16666666666666666,-0.08333333333333333,0.0,-0.3333333333333333,-0.16666666666666666,-2.0833333333333335
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
0.0,-0.22727272727272727,-0.3181818181818182,-0.13636363636363635,-0.13636363636363635,-0.3181818181818182,-1.0909090909090908,-0.3181818181818182,-1.4090909090909092
0.0,0.0,0.0,-0.5,-0.4444444444444444,0.0,-0.8888888888888888,-0.5,-1.2222222222222223
0.0,0.0,-0.16129032258064516,-0.22580645161290322,-0.22580645161290322,-0.0967741935483871,-0.2903225806451613,-0.4838709677419355,-1.0
0.0,0.0,0.0,-0.2777777777777778,-0.05555555555555555,0.0,-0.1111111111111111,-0.1111111111111111,-2.3333333333333335
0.0,0.0,-0.19230769230769232,0.0,0.0,-0.38461538461538464,0.0,0.0,-1.5
0.0,0.0,0.0,-0.2727272727272727,0.0,0.0,0.0,0.0,-0.9545454545454546
0.0,0.0,0.0,-0.3225806451612903,0.0,-0.25806451612903225,-0.3225806451612903,-0.22580645161290322,-1.032258064516129
0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.0,-0.6,-1.4666666666666666,-0.3333333333333333,-2.7333333333333334
0.0,0.0,0.0,-0.5555555555555556,0.0,-0.5555555555555556,-0.2222222222222222,-0.16666666666666666,-1.8888888888888888
0.0,0.0,-0.22727272727272727,-1.1363636363636365,-0.09090909090909091,-0.5,-1.0,-0.5454545454545454,-1.7272727272727273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8695652173913043
0.0,-0.21875,-0.21875,-0.5625,-0.1875,-0.0625,-0.21875,-0.21875,-0.71875
0.0,-0.2,-0.2,-0.25,0.0,-0.25,-0.25,-0.25,-1.05
0.0,0.0,-0.09523809523809523,-0.6666666666666666,-0.47619047619047616,-0.09523809523809523,-0.6666666666666666,-0.6666666666666666,-2.1904761904761907
0.0,0.0,-0.038461538461538464,-0.4230769230769231,-0.11538461538461539,-0.4230769230769231,-0.4230769230769231,-0.38461538461538464,-0.9615384615384616
0.0,0.0,-0.125,-0.4375,-0.0625,0.0,-0.125,-0.4375,-0.5
0.0,0.0,0.0,-0.041666666666666664,0.0,0.0,0.0,-0.041666666666666664,-1.0416666666666667
0.0,0.0,0.0,-0.8888888888888888,-0.3333333333333333,-0.05555555555555555,-0.05555555555555555,0.0,-1.9444444444444444
0.0,0.0,0.0,0.0,0.0,0.0,-0.19230769230769232,-0.19230769230769232,-1.8461538461538463
0.0,0.0,0.0,-0.6470588235294118,-0.17647058823529413,0.0,-0.6470588235294118,-0.17647058823529413,-1.7058823529411764
0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.2,-1.12
0.0,0.0,-0.08695652173913043,-0.17391304347826086,-0.08695652173913043,-0.34782608695652173,0.0,-0.43478260869565216,-1.173913043478261
0.0,-0.034482758620689655,-0.06896551724137931,-0.034482758620689655,-0.034482758620689655,0.0,-0.2413793103448276,-0.2413793103448276,-0.6206896551724138
0.0,-0.07407407407407407,0.0,-0.48148148148148145,0.0,-0.07407407407407407,-0.037037037037037035,0.0,-0.8148148148148148
-0.043478260869565216,0.0,-0.13043478260869565,-0.6521739130434783,-0.13043478260869565,-0.13043478260869565,-0.17391304347826086,-0.13043478260869565,-0.6956521739130435
0.0,0.0,0.0,-0.35714285714285715,-0.17857142857142858,0.0,-0.35714285714285715,-0.35714285714285715,-0.5
0.0,-0.07692307692307693,0.0,-0.23076923076923078,-0.07692307692307693,-0.11538461538461539,-0.19230769230769232,-0.38461538461538464,-0.8461538461538461
0.0,-0.05,-0.15,-0.9,-0.5,0.0,-0.4,-0.45,-0.75
0.0,0.0,0.0,-0.45,-0.2,-0.5,-0.05,-0.7,-1.8
-0.03125,-0.0625,-0.03125,-0.1875,-0.1875,-0.125,-0.5,-0.3125,-1.1875
0.0,0.0,-0.11764705882352941,-0.11764705882352941,0.0,-0.11764705882352941,0.0,0.0,-1.8235294117647058
0.0,0.0,-0.06451612903225806,-0.1935483870967742,-0.06451612903225806,-0.25806451612903225,-0.41935483870967744,-0.16129032258064516,-1.2258064516129032
0.0,-0.045454545454545456,-0.045454545454545456,-0.18181818181818182,-0.18181818181818182,0.0,-0.18181818181818182,-0.18181818181818182,-1.0909090909090908
0.0,-0.1875,-0.1875,-0.1875,0.0,-0.375,-0.1875,-0.1875,-2.5625
0.0,0.0,-0.05555555555555555,-0.2777777777777778,0.0,-0.2777777777777778,-0.2777777777777778,-0.05555555555555555,-2.0555555555555554
0.0,0.0,-0.24,-0.16,0.0,0.0,0.0,-0.16,-1.64
0.0,0.0,0.0,-0.15,0.0,0.0,-0.1,-0.1,-0.8
0.0,-0.08333333333333333,-0.125,-0.16666666666666666,0.0,-0.08333333333333333,-0.20833333333333334,-0.16666666666666666,-1.25
0.0,-0.16,-0.24,-0.24,-0.16,-0.4,-0.48,-0.24,-0.76
0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.8333333333333334,-0.6666666666666666,-2.6666666666666665
0.0,0.0,0.0,-0.9230769230769231,0.0,0.0,-0.9230769230769231,-0.7692307692307693,-0.9230769230769231
0.0,-0.030303030303030304,-0.15151515151515152,-0.24242424242424243,-0.15151515151515152,-0.09090909090909091,-0.15151515151515152,-0.15151515151515152,-0.9696969696969697
0.0,0.0,-0.05555555555555555,-0.2777777777777778,-0.05555555555555555,-0.2777777777777778,-0.2777777777777778,-0.2222222222222222,-1.1111111111111112
0.0,0.0,0.0,-0.2,0.0,-0.13333333333333333,-0.13333333333333333,0.0,-1.0666666666666667
0.0,0.0,-0.2,-0.2,0.0,-0.48,-0.2,-0.2,-0.52
0.0,0.0,0.0,-0.03571428571428571,-0.03571428571428571,0.0,-0.03571428571428571,-0.21428571428571427,-0.17857142857142858
0.0,0.0,-0.045454545454545456,-0.13636363636363635,-0.045454545454545456,-0.045454545454545456,-0.13636363636363635,-0.13636363636363635,-1.6363636363636365
0.0,0.0,-0.037037037037037035,-0.5555555555555556,-0.1111111111111111,-0.2222222222222222,-0.1111111111111111,-0.5555555555555556,-1.1481481481481481
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19047619047619047,-0.23809523809523808
0.0,0.0,-0.3076923076923077,-0.46153846153846156,0.0,-0.19230769230769232,-0.46153846153846156,-0.4230769230769231,-1.1923076923076923
0.0,0.0,-0.05555555555555555,-0.3888888888888889,-0.2777777777777778,0.0,-0.05555555555555555,-0.3888888888888889,-1.6111111111111112
0.0,-0.10714285714285714,0.0,-0.21428571428571427,0.0,-0.21428571428571427,-0.07142857142857142,-0.03571428571428571,-1.2142857142857142
0.0,0.0,-0.23529411764705882,-0.35294117647058826,0.0,-0.11764705882352941,-0.35294117647058826,-0.23529411764705882,-1.088235294117647
0.0,0.0,0.0,-0.8095238095238095,0.0,0.0,0.0,-0.2857142857142857,-1.5714285714285714
0.0,0.0,0.0,-0.5,0.0,-0.08333333333333333,-0.08333333333333333,-0.20833333333333334,-0.5833333333333334
0.0,-0.13636363636363635,0.0,-0.09090909090909091,-0.09090909090909091,-0.4090909090909091,-0.4090909090909091,-0.045454545454545456,-1.0454545454545454
0.0,-0.21052631578947367,-0.42105263157894735,-0.631578947368421,-0.05263157894736842,-0.47368421052631576,-0.47368421052631576,-0.42105263157894735,-1.1578947368421053
0.0,-0.034482758620689655,-0.06896551724137931,-0.06896551724137931,-0.06896551724137931,0.0,-0.06896551724137931,-0.06896551724137931,-0.6551724137931034
0.0,0.0,-0.09523809523809523,-0.09523809523809523,0.0,0.0,-0.047619047619047616,-0.047619047619047616,-1.2380952380952381
0.0,0.0,-0.25,-0.375,-0.16666666666666666,-0.125,-0.3333333333333333,-0.375,-1.0416666666666667
0.0,0.0,0.0,-0.38461538461538464,0.0,0.0,-0.23076923076923078,0.0,-0.8461538461538461
0.0,0.0,-0.2,-0.7,-0.2,-0.15,-0.7,-0.2,-1.85
0.0,0.0,-0.08333333333333333,-0.08333333333333333,0.0,0.0,-0.08333333333333333,-0.08333333333333333,-1.1666666666666667
0.0,0.0,-0.30434782608695654,-0.13043478260869565,-0.13043478260869565,-0.13043478260869565,-0.30434782608695654,-0.30434782608695654,-1.608695652173913
0.0,-0.125,-0.20833333333333334,-0.2916666666666667,0.0,-0.08333333333333333,-0.2916666666666667,-0.25,-0.4583333333333333
0.0,0.0,0.0,-0.23529411764705882,-0.17647058823529413,-0.4117647058823529,0.0,0.0,-1.4705882352941178
0.0,0.0,0.0,0.0,0.0,0.0,-0.18181818181818182,0.0,-1.4545454545454546
0.0,0.0,-0.3181818181818182,-0.4090909090909091,-0.22727272727272727,0.0,-0.4090909090909091,-0.5909090909090909,-1.5
0.0,0.0,0.0,-0.47368421052631576,0.0,0.0,0.0,-0.47368421052631576,-0.7368421052631579
0.0,0.0,0.0,-0.2608695652173913,0.0,0.0,-0.2608695652173913,-0.6521739130434783,-1.434782608695652
0.0,0.0,-0.15789473684210525,-0.15789473684210525,0.0,-0.15789473684210525,-0.15789473684210525,-0.15789473684210525,-1.4210526315789473
0.0,0.0,0.0,-0.18518518518518517,0.0,-0.18518518518518517,-0.18518518518518517,-0.18518518518518517,-1.3333333333333333
0.0,-0.047619047619047616,-0.047619047619047616,-0.14285714285714285,0.0,-0.047619047619047616,-0.47619047619047616,-0.047619047619047616,-1.0952380952380953
0.0,0.0,-0.11538461538461539,-0.23076923076923078,-0.11538461538461539,0.0,-0.46153846153846156,-0.23076923076923078,-0.7692307692307693
0.0,0.0,-0.037037037037037035,-0.4074074074074074,-0.2222222222222222,-0.18518518518518517,-0.37037037037037035,-0.4074074074074074,-0.9259259259259259
-0.04,-0.04,-0.08,-0.08,-0.08,-0.16,-0.08,-0.08,-0.16
0.0,0.0,-0.043478260869565216,-0.30434782608695654,0.0,-0.30434782608695654,-0.30434782608695654,-0.30434782608695654,-0.5652173913043478
0.0,-0.07407407407407407,0.0,-0.037037037037037035,-0.037037037037037035,-0.18518518518518517,-0.4074074074074074,0.0,-1.3703703703703705
0.0,-0.11538461538461539,-0.11538461538461539,-0.15384615384615385,0.0,-0.11538461538461539,-0.15384615384615385,-0.15384615384615385,-1.4615384615384615
0.0,0.0,0.0,-0.45161290322580644,-0.03225806451612903,-0.3225806451612903,-0.45161290322580644,-0.12903225806451613,-1.096774193548387
