KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,0.0,-0.19047619047619047,-0.2857142857142857,0.0,-0.2857142857142857,-0.19047619047619047,-0.7142857142857143
0.0,0.0,-0.11764705882352941,-0.47058823529411764,0.0,-0.47058823529411764,-0.47058823529411764,-1.4705882352941178
0.0,0.0,-0.21739130434782608,-0.782608695652174,-0.043478260869565216,-0.4782608695652174,-0.43478260869565216,-0.4782608695652174
0.0,0.0,-0.13043478260869565,0.0,0.0,0.0,-0.13043478260869565,-0.30434782608695654
-0.09090909090909091,0.0,-0.13636363636363635,-0.13636363636363635,-0.09090909090909091,-0.2727272727272727,-0.2727272727272727,-0.7272727272727273
