KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,-0.08333333333333333,-0.125,-0.08333333333333333,0.0,-0.125,-0.08333333333333333,-0.375
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.105263157894737
0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-1.4444444444444444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3636363636363635
0.0,0.0,-0.07142857142857142,-0.07142857142857142,-0.07142857142857142,-0.07142857142857142,-0.07142857142857142,-0.42857142857142855
