KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,NN_mult,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22727272727272727
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22727272727272727
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7368421052631579
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.037037037037037035,-0.037037037037037035,-0.037037037037037035,-0.037037037037037035,-0.037037037037037035,-0.037037037037037035,-0.037037037037037035,-0.037037037037037035
0.0,-0.045454545454545456,-0.045454545454545456,-0.045454545454545456,-0.045454545454545456,-0.045454545454545456,-0.045454545454545456,-0.045454545454545456,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045454545454545456
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666666
