KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,NN_mult,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,0.0,0.0,-0.2916666666666667,-0.16666666666666666,0.0,-0.5416666666666666,-0.4166666666666667,-0.6666666666666666
0.0,0.0,0.0,-0.06666666666666667,-0.06666666666666667,0.0,-0.3333333333333333,-0.13333333333333333,-0.9666666666666667
0.0,0.0,0.0,-0.047619047619047616,0.0,-0.2857142857142857,0.0,0.0,-1.4761904761904763
0.0,-0.06060606060606061,-0.030303030303030304,-0.30303030303030304,-0.12121212121212122,-0.15151515151515152,-0.12121212121212122,-0.06060606060606061,-0.9393939393939394
0.0,0.0,0.0,-0.09375,-0.03125,-0.03125,-0.09375,-0.1875,-0.34375
0.0,-0.037037037037037035,-0.2222222222222222,-0.4444444444444444,-0.037037037037037035,-0.037037037037037035,-0.4444444444444444,-0.5925925925925926,-1.1481481481481481
0.0,0.0,-0.125,-0.6875,0.0,-0.625,-0.6875,-0.5,-1.375
0.0,0.0,0.0,-0.32142857142857145,-0.32142857142857145,0.0,-0.39285714285714285,-0.17857142857142858,-1.25
0.0,0.0,0.0,-0.10714285714285714,0.0,-0.10714285714285714,-0.10714285714285714,0.0,-1.2857142857142858
0.0,0.0,-0.2631578947368421,-0.5789473684210527,0.0,-0.05263157894736842,-0.2631578947368421,-0.6842105263157895,-1.3157894736842106
