KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,0.0,0.0,-0.04,-0.24,-0.24,-0.04,-0.44
0.0,0.0,-0.09090909090909091,-0.22727272727272727,-0.3181818181818182,-0.22727272727272727,-0.4090909090909091,-1.0909090909090908
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.619047619047619
0.0,0.0,0.0,-0.38095238095238093,0.0,-0.5714285714285714,-0.14285714285714285,-0.38095238095238093
0.0,0.0,0.0,-0.14814814814814814,0.0,-0.14814814814814814,-0.14814814814814814,-0.5185185185185185
0.0,0.0,0.0,-0.35294117647058826,0.0,-0.35294117647058826,-0.17647058823529413,-1.6470588235294117
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7894736842105263
0.0,0.0,-0.07692307692307693,-0.2692307692307692,-0.19230769230769232,-0.2692307692307692,-0.23076923076923078,-1.0769230769230769
0.0,0.0,0.0,-0.7272727272727273,-0.36363636363636365,-0.36363636363636365,-0.36363636363636365,-1.8636363636363635
0.0,0.0,0.0,-0.5625,0.0,-0.3125,-0.3125,-0.75
0.0,0.0,-0.14285714285714285,-0.2857142857142857,0.0,-0.23809523809523808,-0.2857142857142857,-1.7142857142857142
-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-1.24
0.0,0.0,-0.09090909090909091,-0.5909090909090909,-0.045454545454545456,-0.36363636363636365,-0.5454545454545454,-1.0
0.0,0.0,0.0,-0.13043478260869565,0.0,0.0,-0.13043478260869565,-1.2608695652173914
0.0,0.0,0.0,-0.13636363636363635,-0.13636363636363635,-0.13636363636363635,0.0,-1.9090909090909092
0.0,0.0,-0.08333333333333333,-0.125,-0.16666666666666666,-0.2916666666666667,-0.08333333333333333,-0.75
0.0,-0.15,-0.15,-0.55,-0.2,-0.2,-0.2,-1.55
0.0,0.0,0.0,-0.391304347826087,0.0,0.0,-0.043478260869565216,-1.3478260869565217
0.0,0.0,-0.22580645161290322,-0.3548387096774194,0.0,-0.2903225806451613,-0.41935483870967744,-0.7096774193548387
0.0,0.0,0.0,-0.2777777777777778,0.0,0.0,0.0,-1.0
0.0,0.0,0.0,-0.72,-0.24,-0.72,-1.12,-1.88
0.0,0.0,0.0,-0.6363636363636364,0.0,0.0,-0.6363636363636364,-1.2727272727272727
0.0,0.0,0.0,0.0,0.0,-0.2777777777777778,0.0,-0.3888888888888889
0.0,-0.08695652173913043,-0.30434782608695654,-0.4782608695652174,-0.08695652173913043,-0.391304347826087,-0.5652173913043478,-0.30434782608695654
0.0,0.0,-0.14705882352941177,-0.17647058823529413,0.0,-0.14705882352941177,-0.14705882352941177,-0.5882352941176471
0.0,0.0,0.0,-0.05555555555555555,-0.05555555555555555,-0.05555555555555555,-0.05555555555555555,-0.9444444444444444
0.0,0.0,0.0,-0.2857142857142857,-0.10714285714285714,-0.2857142857142857,-0.2857142857142857,-1.0714285714285714
0.0,0.0,0.0,-0.17647058823529413,-0.11764705882352941,0.0,-0.29411764705882354,-1.1764705882352942
0.0,0.0,0.0,-0.7619047619047619,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,-1.4761904761904763
0.0,0.0,0.0,-0.08695652173913043,-0.08695652173913043,0.0,-0.391304347826087,-1.6521739130434783
-0.07142857142857142,0.0,0.0,-0.2857142857142857,-0.14285714285714285,-0.8571428571428571,0.0,-2.142857142857143
0.0,0.0,-0.09523809523809523,-0.38095238095238093,-0.047619047619047616,-0.047619047619047616,-0.2857142857142857,-0.38095238095238093
0.0,0.0,0.0,-0.42857142857142855,0.0,-0.42857142857142855,-0.42857142857142855,-1.0952380952380953
-0.05263157894736842,-0.10526315789473684,-0.15789473684210525,-0.21052631578947367,-0.15789473684210525,-0.21052631578947367,-0.3684210526315789,-0.8421052631578947
0.0,0.0,-0.2,-0.23333333333333334,0.0,-0.23333333333333334,-0.43333333333333335,-1.1666666666666667
0.0,-0.043478260869565216,-0.043478260869565216,-0.21739130434782608,-0.30434782608695654,-0.21739130434782608,-0.21739130434782608,-1.2608695652173914
0.0,0.0,-0.4444444444444444,-0.3333333333333333,-0.2962962962962963,-0.4444444444444444,-0.48148148148148145,-1.0740740740740742
-0.06060606060606061,-0.06060606060606061,0.0,-0.42424242424242425,-0.06060606060606061,-0.15151515151515152,0.0,-0.7272727272727273
0.0,0.0,0.0,-0.03571428571428571,0.0,-0.03571428571428571,-0.03571428571428571,-0.8571428571428571
0.0,-0.06451612903225806,0.0,-0.45161290322580644,-0.25806451612903225,-0.2903225806451613,-0.2903225806451613,-1.2258064516129032
0.0,0.0,0.0,-0.28,-0.12,0.0,-0.16,-1.64
0.0,0.0,0.0,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,-0.8333333333333334
0.0,0.0,0.0,-0.47058823529411764,0.0,-0.7058823529411765,-0.7058823529411765,-2.176470588235294
0.0,-0.09090909090909091,-0.2727272727272727,-0.045454545454545456,-0.2727272727272727,-0.22727272727272727,-0.045454545454545456,-1.2727272727272727
0.0,-0.03125,0.0,0.0,-0.03125,-0.1875,-0.1875,-0.71875
0.0,0.0,0.0,0.0,-0.19047619047619047,0.0,-0.14285714285714285,-1.5238095238095237
0.0,0.0,-0.05,-0.25,-0.05,-0.25,-0.25,-0.75
0.0,0.0,0.0,-0.19230769230769232,-0.15384615384615385,-0.2692307692307692,-0.2692307692307692,-1.2307692307692308
0.0,-0.13636363636363635,0.0,-0.13636363636363635,-0.3181818181818182,-0.7272727272727273,-0.13636363636363635,-0.8181818181818182
0.0,0.0,-0.11538461538461539,-0.4230769230769231,-0.4230769230769231,-0.4230769230769231,-0.11538461538461539,-0.5769230769230769
0.0,0.0,0.0,-0.25,0.0,-0.25,-0.25,-1.6666666666666667
0.0,0.0,0.0,-0.3076923076923077,0.0,-0.07692307692307693,-0.3076923076923077,-0.6923076923076923
