KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.391304347826087
0.0,0.0,0.0,-0.05555555555555555,-0.05555555555555555,-0.05555555555555555,0.0,-0.8333333333333334
0.0,-0.14285714285714285,0.0,-0.07142857142857142,-0.07142857142857142,-0.42857142857142855,0.0,-0.6785714285714286
0.0,0.0,-0.045454545454545456,-0.09090909090909091,-0.09090909090909091,0.0,-0.045454545454545456,-0.22727272727272727
0.0,0.0,-0.32,-0.44,-0.16,-0.68,-0.32,-1.44
