KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,NN_mult,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,0.0,-0.32142857142857145,-0.35714285714285715,-0.07142857142857142,0.0,-0.03571428571428571,-0.35714285714285715,-0.9642857142857143
0.0,0.0,0.0,-0.15789473684210525,0.0,-0.10526315789473684,-0.10526315789473684,-0.10526315789473684,-1.0
0.0,0.0,0.0,-0.22727272727272727,0.0,-0.22727272727272727,-0.3181818181818182,-0.3181818181818182,-1.5909090909090908
0.0,0.0,0.0,-0.1111111111111111,-0.1111111111111111,0.0,0.0,-0.1111111111111111,-1.3888888888888888
0.0,0.0,-0.058823529411764705,-0.058823529411764705,0.0,0.0,0.0,-0.058823529411764705,-0.5294117647058824
0.0,-0.10344827586206896,-0.10344827586206896,-0.5172413793103449,0.0,-0.27586206896551724,-0.1724137931034483,-0.1724137931034483,-0.6896551724137931
0.0,0.0,-0.13043478260869565,-0.34782608695652173,-0.13043478260869565,0.0,-0.17391304347826086,-0.13043478260869565,-1.565217391304348
0.0,0.0,-0.1,-0.25,0.0,-0.05,-0.05,-0.25,-1.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03571428571428571,-0.9285714285714286
-0.09090909090909091,-0.22727272727272727,-0.09090909090909091,0.0,0.0,-0.22727272727272727,-0.22727272727272727,-0.5909090909090909,-1.0909090909090908
