KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,NN_mult,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0476190476190477
0.0,0.0,-0.23076923076923078,-0.23076923076923078,0.0,-0.23076923076923078,-0.23076923076923078,-0.23076923076923078,-1.4230769230769231
0.0,0.0,0.0,-0.05,0.0,-0.05,-0.05,0.0,-0.95
0.0,0.0,0.0,-0.8888888888888888,-0.3333333333333333,0.0,0.0,-0.8888888888888888,-0.8888888888888888
0.0,-0.10526315789473684,-0.5789473684210527,-0.15789473684210525,0.0,-0.15789473684210525,-0.5263157894736842,-0.5263157894736842,-0.7368421052631579
0.0,0.0,0.0,-0.2857142857142857,-0.07142857142857142,0.0,-0.2857142857142857,-0.14285714285714285,-0.2857142857142857
0.0,-0.027777777777777776,0.0,0.0,0.0,-0.027777777777777776,0.0,0.0,-0.4722222222222222
0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,-0.64
0.0,0.0,-0.3,-0.3,0.0,0.0,0.0,-0.3,-0.9
0.0,0.0,0.0,-0.375,0.0,-0.0625,-0.5,0.0,-0.5625
