KNN (k=n-1),KNN (k=n-2),KNN (k=n-3),NN,NN_mult,ItF (k=n-1),ItF (k=n-2),ItF (k=n-3),IiaB
0.0,0.0,-0.03571428571428571,-0.03571428571428571,-0.03571428571428571,-0.10714285714285714,-0.03571428571428571,-0.03571428571428571,-1.0
0.0,0.0,0.0,-0.3333333333333333,-0.1,0.0,-0.26666666666666666,-0.3333333333333333,-1.6666666666666667
0.0,0.0,0.0,-0.24,-0.16,0.0,-0.4,-0.24,-1.68
0.0,0.0,0.0,-0.4666666666666667,-0.3,0.0,-0.36666666666666664,-0.4666666666666667,-1.1333333333333333
0.0,-0.08333333333333333,-0.08333333333333333,-0.25,0.0,0.0,-0.125,-0.125,-1.2083333333333333
0.0,0.0,-0.08695652173913043,-0.2608695652173913,-0.13043478260869565,-0.08695652173913043,-0.2608695652173913,-0.13043478260869565,-2.260869565217391
0.0,0.0,-0.07692307692307693,-0.38461538461538464,-0.11538461538461539,-0.15384615384615385,-0.23076923076923078,-0.23076923076923078,-1.3461538461538463
0.0,0.0,0.0,-0.5652173913043478,0.0,-0.4782608695652174,-0.13043478260869565,-0.08695652173913043,-0.8695652173913043
0.0,0.0,0.0,-0.34782608695652173,0.0,0.0,-0.17391304347826086,-0.21739130434782608,-2.217391304347826
0.0,-0.043478260869565216,0.0,0.0,0.0,-0.08695652173913043,0.0,-0.391304347826087,-2.0
